長期照顧十年計畫－居家服務 Achievements of Ten-year Long Term Care Program by Home Care Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"民國107年上半年, Jan.-June, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"區域別
Locality",,居家服務人員 Care Providers,,,,,,,,,居家服務教育訓練 Education Training,,,,,,服務個案人數 Persons Served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,總計,,,,,,,,,,,,65歲以上失能老人(不含50歲以上失智),,,,,,,,,,,,55-64歲失能原住民(不含50歲以上失智),,,,,,,,,,,,未滿65歲失能身心障礙者(不含50歲以上失智、65歲以上失能老人、55-64歲失能原住民),,,,,,,,,,,,50歲以上失智(CDR 1分以上or身障資格為失智類),,,,,,,,,,,
,,"合計
Total",,,"督導員
Supervisor",,,"照顧服務員
Care Worker",,,"合計
Total",,"督導員
Supervisor",,"照顧服務員
Care Worker",,合計,,,長照低收入戶,,,長照中低收入戶,,,長照一般戶,,,合計,,,長照低收入戶,,,長照中低收入戶,,,長照一般戶,,,合計,,,長照低收入戶,,,長照中低收入戶,,,長照一般戶,,,合計,,,長照低收入戶,,,長照中低收入戶,,,長照一般戶,,,合計,,,長照低收入戶,,,長照中低收入戶,,,長照一般戶,,
,,"計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","次數
Times","人數
Persons","次數
Times","人數
Persons","次數
Times","人數
Persons","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female","計
Subtotal","男
Male","女
Female"
總  計,Total,"12,873","1,400","11,473","1,438",184,"1,254","11,435","1,216","10,219",680,"20,287",251,"2,133",429,"18,154","89,163","37,906","51,257","21,900","11,613","10,287","8,974","4,465","4,509","58,289","21,828","36,461","60,913","23,954","36,959","11,260","5,385","5,875","3,757","1,616","2,141","45,896","16,953","28,943","5,824","1,886","3,938",727,474,253,317,169,148,"4,780","1,243","3,537","19,281","10,833","8,448","9,454","5,540","3,914","4,686","2,585","2,101","5,141","2,708","2,433","3,145","1,233","1,912",459,214,245,214,95,119,"2,472",924,"1,548"
新北市,New Taipei City,"1,324",190,"1,134",162,30,132,"1,162",160,"1,002",12,"2,818",6,800,6,"2,018","10,364","2,702","7,662",396,182,214,250,92,158,"9,718","2,428","7,290","5,187","1,352","3,835",200,91,109,125,46,79,"4,862","1,215","3,647","4,807","1,255","3,552",162,74,88,125,46,79,"4,520","1,135","3,385",40,23,17,4,2,2,-,-,-,36,21,15,330,72,258,30,15,15,-,-,-,300,57,243
臺北市,Taipei City,713,129,584,85,22,63,628,107,521,-,-,-,-,-,-,"3,589","1,597","1,992",948,515,433,133,71,62,"2,508","1,011","1,497","2,569","1,098","1,471",627,335,292,74,43,31,"1,868",720,"1,148",2,-,2,-,-,-,-,-,-,2,-,2,548,305,243,252,152,100,47,23,24,249,130,119,470,194,276,69,28,41,12,5,7,389,161,228
桃園市,Taoyuan City,823,66,757,68,14,54,755,52,703,71,"4,570",18,211,53,"4,359","3,427","1,590","1,837",769,393,376,577,319,258,"2,081",878,"1,203","2,317","1,027","1,290",471,214,257,229,128,101,"1,617",685,932,98,45,53,17,10,7,13,10,3,68,25,43,971,500,471,273,164,109,331,178,153,367,158,209,41,18,23,8,5,3,4,3,1,29,10,19
臺中市,Taichung City,"1,346",141,"1,205",113,17,96,"1,233",124,"1,109",23,431,3,3,20,428,"28,385","13,412","14,973","10,444","5,474","4,970","2,405","1,159","1,246","15,536","6,779","8,757","17,125","7,176","9,949","3,873","1,815","2,058",759,246,513,"12,493","5,115","7,378",374,243,131,322,207,115,28,28,-,24,8,16,"10,457","5,743","4,714","6,176","3,408","2,768","1,604",879,725,"2,677","1,456","1,221",429,250,179,73,44,29,14,6,8,342,200,142
臺南市,Tainan City,"1,223",126,"1,097",141,9,132,"1,082",117,965,34,"1,128",1,30,33,"1,098","6,664","2,928","3,736","1,085",592,493,934,479,455,"4,645","1,857","2,788","5,224","2,172","3,052",724,358,366,400,189,211,"4,100","1,625","2,475",-,-,-,-,-,-,-,-,-,-,-,-,"1,043",617,426,318,216,102,497,277,220,228,124,104,397,139,258,43,18,25,37,13,24,317,108,209
高雄市,Kaohsiung City,"2,012",178,"1,834",194,19,175,"1,818",159,"1,659",2,64,1,23,1,41,"9,196","3,889","5,307","2,284","1,092","1,192","1,136",582,554,"5,776","2,215","3,561","6,924","2,672","4,252","1,529",643,886,415,189,226,"4,980","1,840","3,140",22,12,10,5,4,1,7,4,3,10,4,6,"1,876","1,068",808,669,413,256,673,373,300,534,282,252,374,137,237,81,32,49,41,16,25,252,89,163
